condition,frame_number,time_relative,channel_freq,frame_kind,type,subtype,type_subtype,transmitter,receiver,source,destination,bssid,ssid,rsn_version,rsn_akm,pairwise_cipher,group_cipher,rsn_capabilities,auth_algorithm,auth_sequence,status_code,association_id,eapol_message,nonce_present,nonce_role,replay_counter,key_ack,key_mic,key_install,key_secure,encrypted_key_data,key_data_length,protected_flag,ccmp_packet_number,ccmp_key_id,wireshark_protocol,wireshark_info,interpretation
WPA2-Personal-PSK,1363,23.098575527,2437,Beacon,0,8,0x0008,b2:86:9a:49:e9:da,ff:ff:ff:ff:ff:ff,b2:86:9a:49:e9:da,ff:ff:ff:ff:ff:ff,b2:86:9a:49:e9:da,iPhone_Lab,1,PSK,CCMP,CCMP,0x003c,,,,,,no,,,,,,,,,False,,,,,"AP advertises WPA2 RSN capabilities, PSK AKM and CCMP ciphers."
WPA2-Personal-PSK,1364,23.132337026,2437,Authentication,0,11,0x000b,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,b2:86:9a:49:e9:da,,,,,,,Open System,1,0x0000,,,no,,,,,,,,,False,,,,,Client sends an Open System Authentication Request.
WPA2-Personal-PSK,1366,23.137833234,2437,Authentication,0,11,0x000b,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,Open System,2,0x0000,,,no,,,,,,,,,False,,,,,AP returns the Open System Authentication Response.
WPA2-Personal-PSK,1368,23.140100788,2437,Association Request,0,0,0x0000,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,b2:86:9a:49:e9:da,iPhone_Lab,1,PSK,CCMP,CCMP,0x003c,,,,,,no,,,,,,,,,False,,,,,Client selects PSK and CCMP in the Association Request RSN IE.
WPA2-Personal-PSK,1370,23.145981562,2437,Association Response,0,1,0x0001,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,0x0000,0x000d,,no,,,,,,,,,False,,,,,AP accepts the Association Request and assigns an Association ID.
WPA2-Personal-PSK,1374,23.157073317,2437,EAPOL,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,Message 1 of 4,yes,ANonce,1,True,False,False,False,False,22,False,,,,,WPA2 EAPOL 4-Way Handshake message.
WPA2-Personal-PSK,1376,23.159336555,2437,EAPOL,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,b2:86:9a:49:e9:da,,1,PSK,CCMP,CCMP,0x003c,,,,,Message 2 of 4,yes,SNonce,1,False,True,False,False,False,24,False,,,,,WPA2 EAPOL 4-Way Handshake message.
WPA2-Personal-PSK,1378,23.164878513,2437,EAPOL,2,8,0x0028,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,,,,,,,,,,,Message 3 of 4,yes,ANonce repeated,3,True,True,True,True,True,56,False,,,,,WPA2 EAPOL 4-Way Handshake message.
WPA2-Personal-PSK,1382,23.169142618,2437,EAPOL,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,b2:86:9a:49:e9:da,,,,,,,,,,,Message 4 of 4,yes,,3,False,True,False,True,False,0,False,,,,,WPA2 EAPOL 4-Way Handshake message.
WPA2-Personal-PSK,1394,23.297700354,2437,Protected Frame,2,8,0x0028,e8:bf:b8:96:c3:55,b2:86:9a:49:e9:da,e8:bf:b8:96:c3:55,ff:ff:ff:ff:ff:ff,b2:86:9a:49:e9:da,,,,,,,,,,,,no,,,,,,,,,True,0x000000000001,,,,Protected CCMP frame after key establishment.
